Round number, Team 1 size,Team 2 size, Game rounds, Duration, Winning team
1, 10,10,38,0.0009,Pirates of the Caribbean
2, 10,10,32,0.0015,Pirates of the Caribbean
3, 10,10,30,0.001,Pirates of the Caribbean
4, 10,10,54,0.0015,New York Gangs
5, 10,10,36,0.001,Pirates of the Caribbean
6, 10,10,38,0.001,New York Gangs
7, 10,10,44,0.0005,New York Gangs
8, 10,10,34,0.001,Pirates of the Caribbean
9, 10,10,26,0.001,New York Gangs
10, 10,10,28,0.001,Pirates of the Caribbean
11, 10,10,26,0.001,New York Gangs
12, 10,10,32,0.001,Pirates of the Caribbean
13, 10,10,44,0.0015,New York Gangs
14, 10,10,38,0.0005,New York Gangs
15, 10,10,44,0.0015,Pirates of the Caribbean
16, 10,10,24,0.0005,New York Gangs
17, 10,10,80,0.001,New York Gangs
18, 10,10,34,0.001,New York Gangs
19, 10,10,32,0.001,New York Gangs
20, 10,10,44,0.0015,Pirates of the Caribbean
21, 10,10,64,0.0015,New York Gangs
22, 10,10,38,0.001,New York Gangs
23, 10,10,32,0.001,Pirates of the Caribbean
24, 10,10,66,0.002,New York Gangs
25, 10,10,40,0.001,Pirates of the Caribbean
26, 10,10,58,0.0015,Pirates of the Caribbean
27, 10,10,32,0.001,New York Gangs
28, 10,10,64,0.0025,New York Gangs
29, 10,10,32,0.0015,New York Gangs
30, 10,10,28,0.001,New York Gangs
31, 10,10,36,0.001,Pirates of the Caribbean
32, 10,10,44,0.001,Pirates of the Caribbean
33, 10,10,52,0.002,New York Gangs
34, 10,10,26,0.001,New York Gangs
35, 10,10,62,0.001,Pirates of the Caribbean
36, 10,10,46,0.0015,Pirates of the Caribbean
37, 10,10,36,0.0015,New York Gangs
38, 10,10,58,0.0015,New York Gangs
39, 10,10,66,0.001,Pirates of the Caribbean
40, 10,10,48,0.001,Pirates of the Caribbean
1, 100,100,42,0.0362,Pirates of the Caribbean
2, 100,100,58,0.0466,New York Gangs
3, 100,100,58,0.0416,New York Gangs
4, 100,100,74,0.0397,Pirates of the Caribbean
5, 100,100,64,0.0357,New York Gangs
6, 100,100,50,0.0407,New York Gangs
7, 100,100,72,0.0422,Pirates of the Caribbean
8, 100,100,70,0.0466,New York Gangs
9, 100,100,56,0.0565,New York Gangs
10, 100,100,74,0.0431,Pirates of the Caribbean
11, 100,100,60,0.0516,Pirates of the Caribbean
12, 100,100,50,0.0372,New York Gangs
13, 100,100,86,0.0432,Pirates of the Caribbean
14, 100,100,52,0.0392,New York Gangs
15, 100,100,54,0.0451,New York Gangs
16, 100,100,66,0.0412,New York Gangs
17, 100,100,42,0.0342,Pirates of the Caribbean
18, 100,100,54,0.0471,Pirates of the Caribbean
19, 100,100,72,0.0417,New York Gangs
20, 100,100,60,0.0407,Pirates of the Caribbean
21, 100,100,54,0.0416,New York Gangs
22, 100,100,68,0.0387,Pirates of the Caribbean
23, 100,100,60,0.0372,Pirates of the Caribbean
24, 100,100,60,0.0382,New York Gangs
25, 100,100,56,0.0436,New York Gangs
26, 100,100,52,0.0417,Pirates of the Caribbean
27, 100,100,72,0.0397,Pirates of the Caribbean
28, 100,100,58,0.052,New York Gangs
29, 100,100,82,0.0407,New York Gangs
30, 100,100,54,0.0387,Pirates of the Caribbean
31, 100,100,64,0.0332,New York Gangs
32, 100,100,60,0.0407,Pirates of the Caribbean
33, 100,100,40,0.0427,Pirates of the Caribbean
34, 100,100,50,0.0471,New York Gangs
35, 100,100,46,0.0417,New York Gangs
36, 100,100,76,0.0427,Pirates of the Caribbean
37, 100,100,48,0.0372,Pirates of the Caribbean
38, 100,100,46,0.0392,Pirates of the Caribbean
39, 100,100,48,0.0422,Pirates of the Caribbean
40, 100,100,44,0.0382,New York Gangs
