1, 100,100,50, 0.0519, Pirates of the Caribbean
2, 100,100,42, 0.0379, Pirates of the Caribbean
3, 100,100,50, 0.0429, Pirates of the Caribbean
4, 100,100,50, 0.046, New York Gangs
5, 100,100,72, 0.0559, New York Gangs
6, 100,100,60, 0.0479, Pirates of the Caribbean
7, 100,100,62, 0.0539, New York Gangs
8, 100,100,54, 0.0429, New York Gangs
9, 100,100,48, 0.0438, Pirates of the Caribbean
10, 100,100,64, 0.0369, New York Gangs
1, 100,100,58, 0.0349, New York Gangs
2, 100,100,56, 0.0409, Pirates of the Caribbean
3, 100,100,56, 0.0349, Pirates of the Caribbean
4, 100,100,50, 0.0399, Pirates of the Caribbean
5, 100,100,56, 0.0438, New York Gangs
6, 100,100,46, 0.0349, New York Gangs
7, 100,100,54, 0.0469, Pirates of the Caribbean
8, 100,100,52, 0.0489, New York Gangs
9, 100,100,44, 0.0339, New York Gangs
10, 100,100,76, 0.056, Pirates of the Caribbean
1, 100,100,58, 0.0469, Pirates of the Caribbean
2, 100,100,56, 0.0439, New York Gangs
3, 100,100,70, 0.0369, Pirates of the Caribbean
4, 100,100,76, 0.0469, New York Gangs
5, 100,100,56, 0.0389, Pirates of the Caribbean
6, 100,100,66, 0.0369, Pirates of the Caribbean
7, 100,100,86, 0.0419, Pirates of the Caribbean
8, 100,100,76, 0.046, Pirates of the Caribbean
9, 100,100,60, 0.0389, New York Gangs
10, 100,100,66, 0.0369, New York Gangs
1, 100,100,84, 0.0409, Pirates of the Caribbean
2, 100,100,96, 0.0548, New York Gangs
3, 100,100,66, 0.0568, Pirates of the Caribbean
4, 100,100,102, 0.0349, New York Gangs
5, 100,100,56, 0.0309, New York Gangs
6, 100,100,56, 0.0475, Pirates of the Caribbean
7, 100,100,58, 0.0389, Pirates of the Caribbean
8, 100,100,58, 0.0409, New York Gangs
9, 100,100,58, 0.0348, Pirates of the Caribbean
10, 100,100,120, 0.0409, Pirates of the Caribbean
1, 100,100,42, 0.038, New York Gangs
2, 100,100,64, 0.0379, Pirates of the Caribbean
3, 100,100,70, 0.0399, Pirates of the Caribbean
4, 100,100,58, 0.0399, Pirates of the Caribbean
5, 100,100,62, 0.0349, New York Gangs
6, 100,100,38, 0.0309, Pirates of the Caribbean
7, 100,100,64, 0.0329, New York Gangs
8, 100,100,68, 0.0339, New York Gangs
9, 100,100,60, 0.0429, Pirates of the Caribbean
10, 100,100,46, 0.039, New York Gangs
1, 100,100,102, 0.0489, New York Gangs
2, 100,100,48, 0.0389, New York Gangs
3, 100,100,52, 0.0439, Pirates of the Caribbean
4, 100,100,50, 0.0578, New York Gangs
5, 100,100,56, 0.0409, Pirates of the Caribbean
6, 100,100,56, 0.0558, Pirates of the Caribbean
7, 100,100,52, 0.0349, Pirates of the Caribbean
8, 100,100,44, 0.0339, New York Gangs
9, 100,100,114, 0.0509, Pirates of the Caribbean
10, 100,100,76, 0.0519, Pirates of the Caribbean
